,HIAA80,90837,CPT4,282,11,HMO,251
,REF,90837,CPT4,AK01,11,ALL,153.38
,HIAA80,90837,CPT4,208,11,POS,273
,REF,90837,CPT4,AK01,11,MEHMO,204.5
,HIAA80,90837,CPT4,996,11,QPOS,266
,HIAA80,90837,CPT4,541,11,NNHMO,449
,HIAA80,90837,CPT4,381,11,QPOS,201
,HIAA80,90837,CPT4,913,11,MCAID,276
,HIAA80,90837,CPT4,748,11,MBH,205
,HIAA80,90837,CPT4,313,11,HMOAVN,205
,HIAA80,90837,CPT4,486,11,MHMO,215
,HIAA80,90837,CPT4,115,11,MEHMO,352
,HIAA80,90837,CPT4,561,11,MEHMO,302
,HIAA80,90837,CPT4,066,11,SLFIN,225
,HIAA80,90837,CPT4,153,11,EAP,179
,HIAA80,90837,CPT4,287,11,VPHMO,222
,HIAA80,90837,CPT4,580,11,DPPO,334
,REF,90837,CPT4,AK01,11,HMO,173.83
,HIAA80,90837,CPT4,341,11,DHMO,302
,HIAA80,90837,CPT4,260,11,MEPPO,226
,HIAA80,90837,CPT4,486,11,HMOAVN,215
,HIAA80,90837,CPT4,352,11,POS,179
,HIAA80,90837,CPT4,316,11,MEPO,241
,HIAA80,90837,CPT4,062,11,,201
,HIAA80,90837,CPT4,748,11,DHMO,205
,HIAA80,90837,CPT4,640,11,MWC,176
,REF,90837,CPT4,AK01,11,MEPOS,204.5
,HIAA80,90837,CPT4,113,11,HMOAVN,308
,HIAA80,90837,CPT4,700,11,MEFFS,156
,HIAA80,90837,CPT4,731,11,USACC,194
,HIAA80,90837,CPT4,462,11,DHMO,222
,HIAA80,90837,CPT4,028,11,MEFFS,195
,HIAA80,90837,CPT4,240,11,TC,189
,HIAA80,90837,CPT4,152,11,MWC,180
,HIAA80,90837,CPT4,563,11,MWC,258
,HIAA80,90837,CPT4,910,11,VPHMO,256
,REF,90837,CPT4,AK01,11,ALL,225.83
,HIAA80,90837,CPT4,420,11,HMOHRA,164
,HIAA80,90837,CPT4,308,11,QPOS,225
,HIAA80,90837,CPT4,260,11,MHMO,226
,HIAA80,90837,CPT4,350,11,QPOS,164
,HIAA80,90837,CPT4,748,11,MPPO,205
,HIAA80,90837,CPT4,820,11,EAP,256
,HIAA80,90837,CPT4,775,11,HMO,205
,HIAA80,90837,CPT4,484,11,MEFFS,251
,HIAA80,90837,CPT4,488,11,MBH,226
,HIAA80,90837,CPT4,282,11,VPHMO,251
,HIAA80,90837,CPT4,456,11,DHMO,212
,HIAA80,90837,CPT4,622,11,HMOHRA,190
,HIAA80,90837,CPT4,484,11,ALL,251
,HIAA80,90837,CPT4,531,11,MHMO,288
,HIAA80,90837,CPT4,088,11,MCARE,206
,HIAA80,90837,CPT4,454,11,USACC,179
,HIAA80,90837,CPT4,450,11,DPPO,231
,REF,90837,CPT4,AK01,11,SLFIN,153.38
,HIAA80,90837,CPT4,480,11,MPPO,231
,HIAA80,90837,CPT4,550,11,VPHMO,257
,REF,90837,CPT4,AK01,11,ALL,173.83
,HIAA80,90837,CPT4,363,11,MBH,174
,HIAA80,90837,CPT4,006,11,MEPPO,180
,HIAA80,90837,CPT4,669,11,QPOS,201
,HIAA80,90837,CPT4,230,11,ALL,204
,HIAA80,90837,CPT4,050,11,HMO,174
,HIAA80,90837,CPT4,460,11,ALL,205
,HIAA80,90837,CPT4,481,11,MWC,231
,HIAA80,90837,CPT4,450,11,NNHMO,231
,HIAA80,90837,CPT4,433,11,TRICR,180
,HIAA80,90837,CPT4,230,11,MC,204
,HIAA80,90837,CPT4,470,11,ALL,176
,HIAA80,90837,CPT4,996,11,DHMO,266
,HIAA80,90837,CPT4,662,11,EAP,205
,HIAA80,90837,CPT4,463,11,,232
,REF,90837,CPT4,AK01,11,HMOAVN,169.37
,HIAA80,90837,CPT4,939,11,MHMO,231
,HIAA80,90837,CPT4,995,11,,298
,HIAA80,90837,CPT4,480,11,NNHMO,231
,HIAA80,90837,CPT4,308,11,DHMO,225
,HIAA80,90837,CPT4,430,11,HMO,231
,HIAA80,90837,CPT4,563,11,VPHMO,258
,HIAA80,90837,CPT4,756,11,QPOS,242
,HIAA80,90837,CPT4,662,11,POS,205
,HIAA80,90837,CPT4,482,11,MEHMO,231
,HIAA80,90837,CPT4,553,11,HMOHRA,253
,HIAA80,90837,CPT4,292,11,QPOS,189
,HIAA80,90837,CPT4,591,11,MWC,205
,HIAA80,90837,CPT4,456,11,HMO,212
,HIAA80,90837,CPT4,316,11,MCARE,241
,HIAA80,90837,CPT4,612,11,MPPO,231
,HIAA80,90837,CPT4,545,11,TC,262
